SHRINE QUERY RESULTS (OBFUSCATED PATIENT COUNTS),Site,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16
Demographic Distribution by Race American Indian or Alaska Native,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race Asian,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race Black or African American,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,15,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race Multiple race,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race Native Hawaiian or Other Pacific Islander,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race No Information,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Race White,,unavailable,45,unavailable,unavailable,unavailable,10 patients or fewer,190,75,unavailable,10 patients or fewer,130,unavailable,unavailable,25,10 patients or fewer,unavailable
Demographic Distribution by Sex Ambiguous,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Sex Female,,unavailable,25,unavailable,unavailable,unavailable,10 patients or fewer,145,60,unavailable,10 patients or fewer,85,unavailable,unavailable,20,10 patients or fewer,unavailable
Demographic Distribution by Sex Male,,unavailable,30,unavailable,unavailable,unavailable,10 patients or fewer,125,45,unavailable,10 patients or fewer,60,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Sex No Infomation,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Sex Other,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
"Demographic Distribution by Sex X (Eg. Nonbinary, AGender, etc)",,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Vital Status Known Deceased,,unavailable,20,unavailable,unavailable,unavailable,10 patients or fewer,50,10 patients or fewer,unavailable,10 patients or fewer,30,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
NIH Enrollment American Indian or Alaska Native-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment American Indian or Alaska Native-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Asian-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Black or African American-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Multiple race-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment Native Hawaiian or Other Pacific Islander-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment No Race Info-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Female-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Female-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Female-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,70,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Male-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Male-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-Male-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,55,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-No Sex Info-Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-No Sex Info-No Ethnicity Info,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
NIH Enrollment White-No Sex Info-Not Hispanic,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
