SHRINE QUERY RESULTS (OBFUSCATED PATIENT COUNTS),Site,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16
"Elixhauser Comorbidities Hypertension, complicated ",,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Hypertension, uncomplicated ",,unavailable,85,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,135,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Hypothyroidism ,,unavailable,40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,60,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Leukemia ,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Liver disease and failure, moderate to severe  (POA)",,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Liver disease, mild  (POA)",,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,30,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Lymphoma ,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Metastatic cancer ,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Neurological disorders affecting movement  (POA),,unavailable,305,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,440,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Obesity ,,unavailable,30,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,50,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Other neurological disorders (POA),,unavailable,45,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,55,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Other thyroid disorders,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Paralysis  (POA),,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Peptic ulcer with bleeding  (POA),,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Peripheral vascular disease ,,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,40,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Psychoses  (POA),,unavailable,70,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,100,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Pulmonary circulation disease  (POA),,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Renal (kidney) failure and disease, moderate  (POA)",,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Renal (kidney) failure and disease, severe  (POA)",,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Seizures and epilepsy  (POA),,unavailable,35,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,50,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Solid tumor without metastasis, in situ ",,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
"Elixhauser Comorbidities Solid tumor without metastasis, malignant ",,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Valvular disease  (POA),,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,35,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Weight loss  (POA),,unavailable,70,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,75,unavailable,unavailable,unavailable,unavailable,unavailable
